episode,reward,steps,epsilon
0,13.150,200,1.0000
1,3.050,200,0.9981
2,32.340,200,0.9962
3,131.320,200,0.9943
4,4.060,200,0.9924
5,90.920,200,0.9905
6,123.240,200,0.9886
7,56.580,200,0.9867
8,81.830,200,0.9848
9,-2.000,200,0.9829
10,-2.000,200,0.9810
11,28.300,200,0.9791
12,42.440,200,0.9772
13,-2.000,200,0.9753
14,19.210,200,0.9734
15,-2.000,200,0.9715
16,24.260,200,0.9696
17,3.050,200,0.9677
18,119.200,200,0.9658
19,-2.000,200,0.9639
20,3.050,200,0.9620
21,-2.000,200,0.9601
22,46.480,200,0.9582
23,32.340,200,0.9563
24,113.140,200,0.9544
25,48.500,200,0.9525
26,-2.000,200,0.9506
27,-0.990,200,0.9487
28,3.050,200,0.9468
29,77.790,200,0.9449
30,4.060,200,0.9430
31,86.880,200,0.9411
32,23.250,200,0.9392
33,116.170,200,0.9373
34,46.480,200,0.9354
35,64.660,200,0.9335
36,77.790,200,0.9316
37,-2.000,200,0.9297
38,20.220,200,0.9278
39,-2.000,200,0.9259
40,151.520,200,0.9240
41,101.020,200,0.9221
42,-2.000,200,0.9202
43,-2.000,200,0.9183
44,45.470,200,0.9164
45,-2.000,200,0.9145
46,105.060,200,0.9126
47,125.260,200,0.9107
48,36.380,200,0.9088
49,79.810,200,0.9069
50,-2.000,200,0.9050
51,-2.000,200,0.9031
52,169.700,200,0.9012
53,88.900,200,0.8993
54,-2.000,200,0.8974
55,94.960,200,0.8955
56,8.100,200,0.8936
57,33.350,200,0.8917
58,41.430,200,0.8898
59,186.870,200,0.8879
60,70.720,200,0.8860
61,104.050,200,0.8841
62,-2.000,200,0.8822
63,-2.000,200,0.8803
64,-2.000,200,0.8784
65,115.160,200,0.8765
66,-2.000,200,0.8746
67,-2.000,200,0.8727
68,-0.990,200,0.8708
69,-2.000,200,0.8689
70,41.430,200,0.8670
71,143.440,200,0.8651
72,110.110,200,0.8632
73,-2.000,200,0.8613
74,0.020,200,0.8594
75,27.290,200,0.8575
76,122.230,200,0.8556
77,131.320,200,0.8537
78,25.270,200,0.8518
79,-2.000,200,0.8499
80,-2.000,200,0.8480
81,123.240,200,0.8461
82,11.130,200,0.8442
83,-2.000,200,0.8423
84,152.530,200,0.8404
85,59.610,200,0.8385
86,5.070,200,0.8366
87,183.840,200,0.8347
88,105.060,200,0.8328
89,129.300,200,0.8309
90,150.510,200,0.8290
91,63.650,200,0.8271
92,-2.000,200,0.8252
93,157.580,200,0.8233
94,151.520,200,0.8214
95,57.590,200,0.8195
96,76.780,200,0.8176
97,-2.000,200,0.8157
98,38.400,200,0.8138
99,166.670,200,0.8119
100,120.210,200,0.8100
101,-2.000,200,0.8081
102,-2.000,200,0.8062
103,99.000,200,0.8043
104,0.020,200,0.8024
105,29.310,200,0.8005
106,20.220,200,0.7986
107,61.630,200,0.7967
108,104.050,200,0.7948
109,-2.000,200,0.7929
110,17.190,200,0.7910
111,36.380,200,0.7891
112,119.200,200,0.7872
113,64.660,200,0.7853
114,-2.000,200,0.7834
115,72.740,200,0.7815
116,-2.000,200,0.7796
117,-2.000,200,0.7777
118,61.630,200,0.7758
119,175.760,200,0.7739
120,148.490,200,0.7720
121,34.360,200,0.7701
122,141.420,200,0.7682
123,142.430,200,0.7663
124,143.440,200,0.7644
125,192.930,200,0.7625
126,16.180,200,0.7606
127,38.400,200,0.7587
128,109.100,200,0.7568
129,-2.000,200,0.7549
130,-2.000,200,0.7530
131,85.870,200,0.7511
132,-2.000,200,0.7492
133,86.880,200,0.7473
134,180.810,200,0.7454
135,-2.000,200,0.7435
136,-2.000,200,0.7416
137,87.890,200,0.7397
138,-2.000,200,0.7378
139,160.610,200,0.7359
140,44.460,200,0.7340
141,100.010,200,0.7321
142,166.670,200,0.7302
143,89.910,200,0.7283
144,30.320,200,0.7264
145,87.890,200,0.7245
146,74.760,200,0.7226
147,59.610,200,0.7207
148,52.540,200,0.7188
149,-2.000,200,0.7169
150,174.750,200,0.7150
151,103.040,200,0.7131
152,-2.000,200,0.7112
153,-2.000,200,0.7093
154,127.280,200,0.7074
155,180.810,200,0.7055
156,-2.000,200,0.7036
157,131.320,200,0.7017
158,38.400,200,0.6998
159,-0.990,200,0.6979
160,143.440,200,0.6960
161,12.140,200,0.6941
162,17.190,200,0.6922
163,-2.000,200,0.6903
164,110.110,200,0.6884
165,66.680,200,0.6865
166,27.290,200,0.6846
167,27.290,200,0.6827
168,176.770,200,0.6808
169,146.470,200,0.6789
170,100.010,200,0.6770
171,60.620,200,0.6751
172,146.470,200,0.6732
173,109.100,200,0.6713
174,57.590,200,0.6694
175,97.990,200,0.6675
176,176.770,200,0.6656
177,89.910,200,0.6637
178,182.830,200,0.6618
179,86.880,200,0.6599
180,84.860,200,0.6580
181,123.240,200,0.6561
182,44.460,200,0.6542
183,185.860,200,0.6523
184,47.490,200,0.6504
185,157.580,200,0.6485
186,38.400,200,0.6466
187,-2.000,200,0.6447
188,95.970,200,0.6428
189,5.070,200,0.6409
190,200.000,200,0.6390
191,143.440,200,0.6371
192,164.650,200,0.6352
193,153.540,200,0.6333
194,148.490,200,0.6314
195,132.330,200,0.6295
196,130.310,200,0.6276
197,-2.000,200,0.6257
198,163.640,200,0.6238
199,88.900,200,0.6219
200,151.520,200,0.6200
201,56.580,200,0.6181
202,86.880,200,0.6162
203,114.150,200,0.6143
204,-2.000,200,0.6124
205,47.490,200,0.6105
206,99.000,200,0.6086
207,165.660,200,0.6067
208,-2.000,200,0.6048
209,90.920,200,0.6029
210,1.030,200,0.6010
211,176.770,200,0.5991
212,135.360,200,0.5972
213,-2.000,200,0.5953
214,89.910,200,0.5934
215,107.080,200,0.5915
216,-2.000,200,0.5896
217,165.660,200,0.5877
218,-2.000,200,0.5858
219,0.020,200,0.5839
220,149.500,200,0.5820
221,144.450,200,0.5801
222,22.240,200,0.5782
223,175.760,200,0.5763
224,28.300,200,0.5744
225,152.530,200,0.5725
226,1.030,200,0.5706
227,78.800,200,0.5687
228,181.820,200,0.5668
229,128.290,200,0.5649
230,111.120,200,0.5630
231,39.410,200,0.5611
232,105.060,200,0.5592
233,147.480,200,0.5573
234,182.830,200,0.5554
235,180.810,200,0.5535
236,185.860,200,0.5516
237,150.510,200,0.5497
238,134.350,200,0.5478
239,104.050,200,0.5459
240,149.500,200,0.5440
241,-2.000,200,0.5421
242,-2.000,200,0.5402
243,85.870,200,0.5383
244,-2.000,200,0.5364
245,123.240,200,0.5345
246,165.660,200,0.5326
247,113.140,200,0.5307
248,169.700,200,0.5288
249,71.730,200,0.5269
250,194.950,200,0.5250
251,28.300,200,0.5231
252,145.460,200,0.5212
253,195.960,200,0.5193
254,186.870,200,0.5174
255,-2.000,200,0.5155
256,55.570,200,0.5136
257,150.510,200,0.5117
258,140.410,200,0.5098
259,22.240,200,0.5079
260,99.000,200,0.5060
261,28.300,200,0.5041
262,159.600,200,0.5022
263,106.070,200,0.5003
264,187.880,200,0.4984
265,156.570,200,0.4965
266,82.840,200,0.4946
267,56.580,200,0.4927
268,48.500,200,0.4908
269,134.350,200,0.4889
270,-2.000,200,0.4870
271,189.900,200,0.4851
272,174.750,200,0.4832
273,15.170,200,0.4813
274,149.500,200,0.4794
275,124.250,200,0.4775
276,123.240,200,0.4756
277,117.180,200,0.4737
278,144.450,200,0.4718
279,125.260,200,0.4699
280,68.700,200,0.4680
281,191.920,200,0.4661
282,94.960,200,0.4642
283,23.250,200,0.4623
284,167.680,200,0.4604
285,135.360,200,0.4585
286,126.270,200,0.4566
287,129.300,200,0.4547
288,150.510,200,0.4528
289,31.330,200,0.4509
290,40.420,200,0.4490
291,193.940,200,0.4471
292,132.330,200,0.4452
293,136.370,200,0.4433
294,35.370,200,0.4414
295,105.060,200,0.4395
296,56.580,200,0.4376
297,120.210,200,0.4357
298,165.660,200,0.4338
299,165.660,200,0.4319
300,81.830,200,0.4300
301,157.580,200,0.4281
302,78.800,200,0.4262
303,172.730,200,0.4243
304,159.600,200,0.4224
305,100.010,200,0.4205
306,182.830,200,0.4186
307,138.390,200,0.4167
308,173.740,200,0.4148
309,149.500,200,0.4129
310,195.960,200,0.4110
311,147.480,200,0.4091
312,40.420,200,0.4072
313,118.190,200,0.4053
314,77.790,200,0.4034
315,127.280,200,0.4015
316,6.080,200,0.3996
317,197.980,200,0.3977
318,183.840,200,0.3958
319,179.800,200,0.3939
320,143.440,200,0.3920
321,124.250,200,0.3901
322,174.750,200,0.3882
323,159.600,200,0.3863
324,149.500,200,0.3844
325,197.980,200,0.3825
326,158.590,200,0.3806
327,184.850,200,0.3787
328,13.150,200,0.3768
329,159.600,200,0.3749
330,109.100,200,0.3730
331,192.930,200,0.3711
332,2.040,200,0.3692
333,77.790,200,0.3673
334,165.660,200,0.3654
335,162.630,200,0.3635
336,183.840,200,0.3616
337,78.800,200,0.3597
338,181.820,200,0.3578
339,197.980,200,0.3559
340,172.730,200,0.3540
341,200.000,200,0.3521
342,177.780,200,0.3502
343,167.680,200,0.3483
344,198.990,200,0.3464
345,186.870,200,0.3445
346,196.970,200,0.3426
347,133.340,200,0.3407
348,197.980,200,0.3388
349,172.730,200,0.3369
350,68.700,200,0.3350
351,151.520,200,0.3331
352,9.110,200,0.3312
353,87.890,200,0.3293
354,197.980,200,0.3274
355,88.900,200,0.3255
356,89.910,200,0.3236
357,195.960,200,0.3217
358,-2.000,200,0.3198
359,85.870,200,0.3179
360,200.000,200,0.3160
361,146.470,200,0.3141
362,197.980,200,0.3122
363,-0.990,200,0.3103
364,31.330,200,0.3084
365,193.940,200,0.3065
366,-2.000,200,0.3046
367,122.230,200,0.3027
368,164.650,200,0.3008
369,174.750,200,0.2989
370,135.360,200,0.2970
371,20.220,200,0.2951
372,74.760,200,0.2932
373,172.730,200,0.2913
374,133.340,200,0.2894
375,127.280,200,0.2875
376,83.850,200,0.2856
377,80.820,200,0.2837
378,55.570,200,0.2818
379,156.570,200,0.2799
380,54.560,200,0.2780
381,172.730,200,0.2761
382,147.480,200,0.2742
383,39.410,200,0.2723
384,-2.000,200,0.2704
385,2.040,200,0.2685
386,140.410,200,0.2666
387,187.880,200,0.2647
388,25.270,200,0.2628
389,158.590,200,0.2609
390,180.810,200,0.2590
391,168.690,200,0.2571
392,196.970,200,0.2552
393,188.890,200,0.2533
394,138.390,200,0.2514
395,56.580,200,0.2495
396,126.270,200,0.2476
397,110.110,200,0.2457
398,112.130,200,0.2438
399,122.230,200,0.2419
400,178.790,200,0.2400
401,10.120,200,0.2381
402,140.410,200,0.2362
403,192.930,200,0.2343
404,195.960,200,0.2324
405,135.360,200,0.2305
406,-2.000,200,0.2286
407,167.680,200,0.2267
408,179.800,200,0.2248
409,188.890,200,0.2229
410,188.890,200,0.2210
411,200.000,200,0.2191
412,169.700,200,0.2172
413,77.790,200,0.2153
414,72.740,200,0.2134
415,159.600,200,0.2115
416,9.110,200,0.2096
417,169.700,200,0.2077
418,105.060,200,0.2058
419,128.290,200,0.2039
420,189.900,200,0.2020
421,193.940,200,0.2001
422,191.920,200,0.1982
423,161.620,200,0.1963
424,146.470,200,0.1944
425,40.420,200,0.1925
426,195.960,200,0.1906
427,156.570,200,0.1887
428,1.030,200,0.1868
429,162.630,200,0.1849
430,200.000,200,0.1830
431,175.760,200,0.1811
432,185.860,200,0.1792
433,-2.000,200,0.1773
434,196.970,200,0.1754
435,102.030,200,0.1735
436,189.900,200,0.1716
437,62.640,200,0.1697
438,169.700,200,0.1678
439,76.780,200,0.1659
440,198.990,200,0.1640
441,132.330,200,0.1621
442,196.970,200,0.1602
443,75.770,200,0.1583
444,115.160,200,0.1564
445,169.700,200,0.1545
446,150.510,200,0.1526
447,140.410,200,0.1507
448,175.760,200,0.1488
449,186.870,200,0.1469
450,190.910,200,0.1450
451,145.460,200,0.1431
452,8.100,200,0.1412
453,-2.000,200,0.1393
454,189.900,200,0.1374
455,166.670,200,0.1355
456,83.850,200,0.1336
457,169.700,200,0.1317
458,180.810,200,0.1298
459,193.940,200,0.1279
460,176.770,200,0.1260
461,168.690,200,0.1241
462,198.990,200,0.1222
463,194.950,200,0.1203
464,182.830,200,0.1184
465,42.440,200,0.1165
466,20.220,200,0.1146
467,56.580,200,0.1127
468,-2.000,200,0.1108
469,200.000,200,0.1089
470,34.360,200,0.1070
471,186.870,200,0.1051
472,188.890,200,0.1032
473,7.090,200,0.1013
474,180.810,200,0.0994
475,197.980,200,0.0975
476,196.970,200,0.0956
477,181.820,200,0.0937
478,194.950,200,0.0918
479,188.890,200,0.0899
480,24.260,200,0.0880
481,129.300,200,0.0861
482,169.700,200,0.0842
483,148.490,200,0.0823
484,146.470,200,0.0804
485,182.830,200,0.0785
486,54.560,200,0.0766
487,200.000,200,0.0747
488,186.870,200,0.0728
489,198.990,200,0.0709
490,119.200,200,0.0690
491,71.730,200,0.0671
492,135.360,200,0.0652
493,188.890,200,0.0633
494,154.550,200,0.0614
495,189.900,200,0.0595
496,-2.000,200,0.0576
497,91.930,200,0.0557
498,117.180,200,0.0538
499,121.220,200,0.0519
500,-2.000,200,0.0500
501,134.350,200,0.0500
502,187.880,200,0.0500
503,177.780,200,0.0500
504,17.190,200,0.0500
505,21.230,200,0.0500
506,196.970,200,0.0500
507,165.660,200,0.0500
508,141.420,200,0.0500
509,150.510,200,0.0500
510,126.270,200,0.0500
511,173.740,200,0.0500
512,178.790,200,0.0500
513,-2.000,200,0.0500
514,25.270,200,0.0500
515,-2.000,200,0.0500
516,11.130,200,0.0500
517,65.670,200,0.0500
518,141.420,200,0.0500
519,88.900,200,0.0500
520,142.430,200,0.0500
521,132.330,200,0.0500
522,175.760,200,0.0500
523,176.770,200,0.0500
524,163.640,200,0.0500
525,-2.000,200,0.0500
526,33.350,200,0.0500
527,145.460,200,0.0500
528,191.920,200,0.0500
529,142.430,200,0.0500
530,70.720,200,0.0500
531,171.720,200,0.0500
532,-2.000,200,0.0500
533,193.940,200,0.0500
534,119.200,200,0.0500
535,113.140,200,0.0500
536,52.540,200,0.0500
537,188.890,200,0.0500
538,51.530,200,0.0500
539,77.790,200,0.0500
540,171.720,200,0.0500
541,196.970,200,0.0500
542,139.400,200,0.0500
543,23.250,200,0.0500
544,-2.000,200,0.0500
545,0.020,200,0.0500
546,190.910,200,0.0500
547,63.650,200,0.0500
548,19.210,200,0.0500
549,193.940,200,0.0500
550,45.470,200,0.0500
551,130.310,200,0.0500
552,195.960,200,0.0500
553,-2.000,200,0.0500
554,35.370,200,0.0500
555,164.650,200,0.0500
556,-2.000,200,0.0500
557,91.930,200,0.0500
558,118.190,200,0.0500
559,169.700,200,0.0500
560,186.870,200,0.0500
561,136.370,200,0.0500
562,200.000,200,0.0500
563,198.990,200,0.0500
564,198.990,200,0.0500
565,84.860,200,0.0500
566,-2.000,200,0.0500
567,73.750,200,0.0500
568,-2.000,200,0.0500
569,89.910,200,0.0500
570,115.160,200,0.0500
571,130.310,200,0.0500
572,192.930,200,0.0500
573,181.820,200,0.0500
574,198.990,200,0.0500
575,159.600,200,0.0500
576,185.860,200,0.0500
577,170.710,200,0.0500
578,107.080,200,0.0500
579,116.170,200,0.0500
580,139.400,200,0.0500
581,183.840,200,0.0500
582,172.730,200,0.0500
583,128.290,200,0.0500
584,186.870,200,0.0500
585,14.160,200,0.0500
586,135.360,200,0.0500
587,124.250,200,0.0500
588,102.030,200,0.0500
589,18.200,200,0.0500
590,183.840,200,0.0500
591,16.180,200,0.0500
592,112.130,200,0.0500
593,-2.000,200,0.0500
594,13.150,200,0.0500
595,57.590,200,0.0500
596,82.840,200,0.0500
597,190.910,200,0.0500
598,198.990,200,0.0500
599,172.730,200,0.0500
600,43.450,200,0.0500
601,172.730,200,0.0500
602,145.460,200,0.0500
603,87.890,200,0.0500
604,67.690,200,0.0500
605,185.860,200,0.0500
606,188.890,200,0.0500
607,8.100,200,0.0500
608,198.990,200,0.0500
609,179.800,200,0.0500
610,56.580,200,0.0500
611,200.000,200,0.0500
612,167.680,200,0.0500
613,110.110,200,0.0500
614,200.000,200,0.0500
615,167.680,200,0.0500
616,2.040,200,0.0500
617,167.680,200,0.0500
618,191.920,200,0.0500
619,189.900,200,0.0500
620,165.660,200,0.0500
621,165.660,200,0.0500
622,189.900,200,0.0500
623,90.920,200,0.0500
624,103.040,200,0.0500
625,142.430,200,0.0500
626,169.700,200,0.0500
627,168.690,200,0.0500
628,31.330,200,0.0500
629,162.630,200,0.0500
630,9.110,200,0.0500
631,146.470,200,0.0500
632,187.880,200,0.0500
633,163.640,200,0.0500
634,182.830,200,0.0500
635,186.870,200,0.0500
636,-2.000,200,0.0500
637,188.890,200,0.0500
638,143.440,200,0.0500
639,110.110,200,0.0500
640,200.000,200,0.0500
641,195.960,200,0.0500
642,31.330,200,0.0500
643,192.930,200,0.0500
644,196.970,200,0.0500
645,192.930,200,0.0500
646,168.690,200,0.0500
647,180.810,200,0.0500
648,198.990,200,0.0500
649,163.640,200,0.0500
650,62.640,200,0.0500
651,178.790,200,0.0500
652,-2.000,200,0.0500
653,-2.000,200,0.0500
654,149.500,200,0.0500
655,192.930,200,0.0500
656,111.120,200,0.0500
657,187.880,200,0.0500
658,187.880,200,0.0500
659,117.180,200,0.0500
660,9.110,200,0.0500
661,189.900,200,0.0500
662,-2.000,200,0.0500
663,113.140,200,0.0500
664,113.140,200,0.0500
665,184.850,200,0.0500
666,188.890,200,0.0500
667,150.510,200,0.0500
668,149.500,200,0.0500
669,67.690,200,0.0500
670,-2.000,200,0.0500
671,139.400,200,0.0500
672,145.460,200,0.0500
673,59.610,200,0.0500
674,169.700,200,0.0500
675,19.210,200,0.0500
676,180.810,200,0.0500
677,184.850,200,0.0500
678,184.850,200,0.0500
679,75.770,200,0.0500
680,189.900,200,0.0500
681,191.920,200,0.0500
682,6.080,200,0.0500
683,156.570,200,0.0500
684,42.440,200,0.0500
685,12.140,200,0.0500
686,96.980,200,0.0500
687,185.860,200,0.0500
688,169.700,200,0.0500
689,-2.000,200,0.0500
690,164.650,200,0.0500
691,65.670,200,0.0500
