episode,reward,steps,epsilon
0,-28.030,200,1.0000
1,-32.390,200,0.9981
2,-31.720,200,0.9962
3,-28.810,200,0.9943
4,-31.540,200,0.9924
5,-33.040,200,0.9905
6,-32.440,200,0.9886
7,-32.610,200,0.9867
8,-32.200,200,0.9848
9,-32.210,200,0.9829
10,-30.940,200,0.9810
11,-31.830,200,0.9791
12,-31.570,200,0.9772
13,-34.030,200,0.9753
14,-31.490,200,0.9734
15,-31.490,200,0.9715
16,-30.740,200,0.9696
17,-33.600,200,0.9677
18,-29.990,200,0.9658
19,-31.560,200,0.9639
20,-29.110,200,0.9620
21,-28.750,200,0.9601
22,-31.170,200,0.9582
23,-27.780,200,0.9563
24,-29.130,200,0.9544
25,-31.380,200,0.9525
26,-32.440,200,0.9506
27,-29.520,200,0.9487
28,-31.740,200,0.9468
29,-31.020,200,0.9449
30,-30.230,200,0.9430
31,-29.880,200,0.9411
32,-32.800,200,0.9392
33,-31.210,200,0.9373
34,-31.420,200,0.9354
35,-26.900,200,0.9335
36,-30.870,200,0.9316
37,-29.110,200,0.9297
38,-27.430,200,0.9278
39,-29.120,200,0.9259
40,-31.210,200,0.9240
41,-29.000,200,0.9221
42,-29.970,200,0.9202
43,-28.190,200,0.9183
44,-30.160,200,0.9164
45,-28.660,200,0.9145
46,-29.930,200,0.9126
47,-31.190,200,0.9107
48,-30.430,200,0.9088
49,-29.610,200,0.9069
50,-28.880,200,0.9050
51,-29.510,200,0.9031
52,-30.140,200,0.9012
53,-30.180,200,0.8993
54,-26.140,200,0.8974
55,-28.800,200,0.8955
56,-28.280,200,0.8936
57,-26.500,200,0.8917
58,-31.650,200,0.8898
59,-25.610,200,0.8879
60,-26.650,200,0.8860
61,-28.930,200,0.8841
62,-30.180,200,0.8822
63,-30.720,200,0.8803
64,-29.000,200,0.8784
65,-26.030,200,0.8765
66,-24.950,200,0.8746
67,-29.070,200,0.8727
68,-30.170,200,0.8708
69,-29.700,200,0.8689
70,-27.160,200,0.8670
71,-25.490,200,0.8651
72,-23.850,200,0.8632
73,-28.490,200,0.8613
74,-27.420,200,0.8594
75,-27.140,200,0.8575
76,-27.630,200,0.8556
77,-31.200,200,0.8537
78,-28.070,200,0.8518
79,-28.990,200,0.8499
80,-23.710,200,0.8480
81,-25.760,200,0.8461
82,-26.670,200,0.8442
83,-26.220,200,0.8423
84,-24.050,200,0.8404
85,-23.490,200,0.8385
86,-28.190,200,0.8366
87,-26.420,200,0.8347
88,-28.170,200,0.8328
89,-26.260,200,0.8309
90,-26.470,200,0.8290
91,-22.140,200,0.8271
92,-27.780,200,0.8252
93,-25.790,200,0.8233
94,-26.560,200,0.8214
95,-24.260,200,0.8195
96,-26.950,200,0.8176
97,-27.760,200,0.8157
98,-18.830,200,0.8138
99,-21.190,200,0.8119
100,-26.520,200,0.8100
101,-26.760,200,0.8081
102,-24.480,200,0.8062
103,-25.050,200,0.8043
104,-20.260,200,0.8024
105,-23.890,200,0.8005
106,-24.530,200,0.7986
107,-23.580,200,0.7967
108,-23.910,200,0.7948
109,-25.540,200,0.7929
110,-21.420,200,0.7910
111,-28.120,200,0.7891
112,-25.090,200,0.7872
113,-25.500,200,0.7853
114,-24.310,200,0.7834
115,-27.970,200,0.7815
116,-22.200,200,0.7796
117,-25.290,200,0.7777
118,-23.340,200,0.7758
119,-23.870,200,0.7739
120,-23.010,200,0.7720
121,-23.080,200,0.7701
122,-25.740,200,0.7682
123,-21.740,200,0.7663
124,-23.680,200,0.7644
125,-22.860,200,0.7625
126,-25.650,200,0.7606
127,-21.770,200,0.7587
128,-22.840,200,0.7568
129,-19.130,200,0.7549
130,-21.610,200,0.7530
131,-26.320,200,0.7511
132,-22.430,200,0.7492
133,-24.750,200,0.7473
134,-21.910,200,0.7454
135,-25.520,200,0.7435
136,-21.610,200,0.7416
137,-22.270,200,0.7397
138,-25.030,200,0.7378
139,-21.250,200,0.7359
140,-21.970,200,0.7340
141,-22.930,200,0.7321
142,-21.020,200,0.7302
143,-27.590,200,0.7283
144,-23.400,200,0.7264
145,-22.950,200,0.7245
146,-24.450,200,0.7226
147,-24.440,200,0.7207
148,-24.540,200,0.7188
149,-23.090,200,0.7169
150,-22.560,200,0.7150
151,-23.550,200,0.7131
152,-22.380,200,0.7112
153,-22.680,200,0.7093
154,-15.680,200,0.7074
155,-25.190,200,0.7055
156,-23.250,200,0.7036
157,-20.350,200,0.7017
158,-24.840,200,0.6998
159,-21.610,200,0.6979
160,-24.320,200,0.6960
161,-21.740,200,0.6941
162,-22.020,200,0.6922
163,-18.400,200,0.6903
164,-22.400,200,0.6884
165,-19.950,200,0.6865
166,-20.220,200,0.6846
167,-21.230,200,0.6827
168,-19.870,200,0.6808
169,-19.230,200,0.6789
170,-21.490,200,0.6770
171,-20.640,200,0.6751
172,-19.980,200,0.6732
173,-22.050,200,0.6713
174,-18.290,200,0.6694
175,-20.420,200,0.6675
176,-21.030,200,0.6656
177,-22.680,200,0.6637
178,-20.540,200,0.6618
179,-18.990,200,0.6599
180,-22.000,200,0.6580
181,-18.990,200,0.6561
182,-21.700,200,0.6542
183,-24.640,200,0.6523
184,-20.110,200,0.6504
185,-20.670,200,0.6485
186,-19.900,200,0.6466
187,-22.230,200,0.6447
188,-21.700,200,0.6428
189,-19.090,200,0.6409
190,-22.310,200,0.6390
191,-17.000,200,0.6371
192,-16.630,200,0.6352
193,-21.900,200,0.6333
