episode,reward,steps,epsilon
0,1.500,200,1.0000
1,1.500,200,0.9981
2,-1.100,200,0.9962
3,-1.100,200,0.9943
4,4.100,200,0.9924
5,-3.700,200,0.9905
6,-2.400,200,0.9886
7,-7.600,200,0.9867
8,-2.400,200,0.9848
9,2.800,200,0.9829
10,-1.100,200,0.9810
11,-6.300,200,0.9791
12,1.500,200,0.9772
13,5.400,200,0.9753
14,4.100,200,0.9734
15,0.200,200,0.9715
16,4.100,200,0.9696
17,-2.400,200,0.9677
18,0.200,200,0.9658
19,1.500,200,0.9639
20,0.200,200,0.9620
21,6.700,200,0.9601
22,1.500,200,0.9582
23,5.400,200,0.9563
24,-2.400,200,0.9544
25,5.400,200,0.9525
26,-5.000,200,0.9506
27,2.800,200,0.9487
28,1.500,200,0.9468
29,5.400,200,0.9449
30,1.500,200,0.9430
31,-2.400,200,0.9411
32,9.300,200,0.9392
33,8.000,200,0.9373
34,-1.100,200,0.9354
35,2.800,200,0.9335
36,2.800,200,0.9316
37,-2.400,200,0.9297
38,1.500,200,0.9278
39,-5.000,200,0.9259
40,-2.400,200,0.9240
41,0.200,200,0.9221
42,5.400,200,0.9202
43,1.500,200,0.9183
44,-1.100,200,0.9164
45,1.500,200,0.9145
46,-2.400,200,0.9126
47,2.800,200,0.9107
48,1.500,200,0.9088
49,2.800,200,0.9069
50,4.100,200,0.9050
51,2.800,200,0.9031
52,-2.400,200,0.9012
53,5.400,200,0.8993
54,1.500,200,0.8974
55,4.100,200,0.8955
56,-2.400,200,0.8936
57,2.800,200,0.8917
58,5.400,200,0.8898
59,-1.100,200,0.8879
60,5.400,200,0.8860
61,-3.700,200,0.8841
62,-2.400,200,0.8822
63,1.500,200,0.8803
64,-3.700,200,0.8784
65,4.100,200,0.8765
66,2.800,200,0.8746
67,-2.400,200,0.8727
68,-1.100,200,0.8708
69,2.800,200,0.8689
70,2.800,200,0.8670
71,1.500,200,0.8651
72,2.800,200,0.8632
73,1.500,200,0.8613
74,0.200,200,0.8594
75,-1.100,200,0.8575
76,-1.100,200,0.8556
77,8.000,200,0.8537
78,-3.700,200,0.8518
79,6.700,200,0.8499
80,1.500,200,0.8480
81,5.400,200,0.8461
82,1.500,200,0.8442
83,1.500,200,0.8423
84,2.800,200,0.8404
85,0.200,200,0.8385
86,0.200,200,0.8366
87,0.200,200,0.8347
88,2.800,200,0.8328
89,6.700,200,0.8309
90,1.500,200,0.8290
91,1.500,200,0.8271
92,-5.000,200,0.8252
93,-2.400,200,0.8233
94,2.800,200,0.8214
95,4.100,200,0.8195
96,-1.100,200,0.8176
97,-1.100,200,0.8157
98,-3.700,200,0.8138
99,-1.100,200,0.8119
100,-1.100,200,0.8100
101,-2.400,200,0.8081
102,0.200,200,0.8062
103,0.200,200,0.8043
104,6.700,200,0.8024
105,2.800,200,0.8005
106,5.400,200,0.7986
107,2.800,200,0.7967
108,4.100,200,0.7948
109,0.200,200,0.7929
110,5.400,200,0.7910
111,0.200,200,0.7891
112,-5.000,200,0.7872
113,4.100,200,0.7853
114,0.200,200,0.7834
